,loss,accuracy,val_loss,val_accuracy
0,0.9607675075531006,0.9749221205711365,0.26030898094177246,0.9858783483505249
1,0.13282261788845062,0.9861738085746765,0.057034965604543686,0.9902234673500061
2,0.04708518087863922,0.9892250895500183,0.03215060010552406,0.9925512075424194
3,0.031753022223711014,0.9916725158691406,0.030835984274744987,0.9905338287353516
4,0.029458407312631607,0.9912275075912476,0.026295015588402748,0.9927064180374146
5,0.026226019486784935,0.992403507232666,0.02776043303310871,0.99301677942276
6,0.023522930219769478,0.9938020706176758,0.03484288230538368,0.9892923831939697
7,0.020194493234157562,0.9944695234298706,0.02191035822033882,0.99301677942276
8,0.01650010608136654,0.995772659778595,0.020214365795254707,0.9942582249641418
9,0.015853222459554672,0.9960587620735168,0.017869744449853897,0.9950341582298279
10,0.01537382323294878,0.9964401721954346,0.01514330506324768,0.9964308142662048
11,0.01275612786412239,0.9967897534370422,0.015754912048578262,0.9964308142662048
12,0.012037058360874653,0.99717116355896,0.013874172233045101,0.9962756037712097
13,0.011474456638097763,0.9970758557319641,0.01751999370753765,0.9958100318908691
14,0.012085061520338058,0.9968215823173523,0.02079152874648571,0.9937926530838013
15,0.00985066406428814,0.9975844025611877,0.023798925802111626,0.99301677942276
16,0.00975722260773182,0.9978704452514648,0.012565202079713345,0.9972066879272461
17,0.00995677337050438,0.9973936676979065,0.013288388960063457,0.9956548810005188
18,0.009869157336652279,0.9977750778198242,0.011005309410393238,0.9972066879272461
19,0.009503808803856373,0.9979975819587708,0.01642945036292076,0.9948789477348328
