epochs,loss,accuracy,val_loss,val_accuracy
0,0.1626032590866089,0.9527884721755981,0.04766946658492088,0.9987571835517883
1,0.03168100118637085,0.99589604139328,0.020544344559311867,0.9995339512825012
2,0.01747066341340542,0.9976457953453064,0.01182371936738491,0.9995339512825012
3,0.012402426451444626,0.9977730512619019,0.00800471194088459,0.9995339512825012
4,0.009258227422833443,0.9982502460479736,0.005723567213863134,0.9995339512825012
5,0.007167310453951359,0.9983775019645691,0.004431172274053097,0.9995339512825012
6,0.006147939711809158,0.9985365867614746,0.003670300589874387,0.9995339512825012
7,0.005749061703681946,0.9987910985946655,0.003185188164934516,0.9996892809867859
8,0.004796686116605997,0.9987274408340454,0.0027162949554622173,0.9998446702957153
9,0.004145881161093712,0.9990773797035217,0.0023802772630006075,0.9998446702957153
10,0.08352676033973694,0.973626434803009,0.00020807352848351002,1.0
11,0.005005839746445417,0.9982184171676636,0.00012132171104894951,1.0
12,0.0031801555305719376,0.9990456104278564,6.527351069962606e-05,1.0
13,0.002595903817564249,0.9992046356201172,0.00010706842294894159,1.0
14,0.0021715431939810514,0.9993001222610474,5.962040086160414e-05,1.0
15,0.001791957183741033,0.9993318915367126,6.863218732178211e-05,1.0
16,0.0013746476033702493,0.9995228052139282,2.7383559427107684e-05,1.0
17,0.0012096151476725936,0.9995864033699036,4.3757292587542906e-05,1.0
18,0.0017499147215858102,0.9993001222610474,2.64476166194072e-05,1.0
19,0.0009311245521530509,0.999713659286499,5.1473114581312984e-05,1.0
