epochs,loss,accuracy,val_loss,val_accuracy
0,1.3122502565383911,0.9493525624275208,0.6512005925178528,0.9599192142486572
1,0.34566813707351685,0.9725766181945801,0.15923577547073364,0.9852415919303894
2,0.10864443331956863,0.9825661182403564,0.06732431054115295,0.9846201539039612
3,0.05726083368062973,0.9866700768470764,0.06822618097066879,0.9799596071243286
4,0.03592899814248085,0.99039226770401,0.026905441656708717,0.9926984906196594
5,0.028649019077420235,0.9927464723587036,0.02922857366502285,0.9926984906196594
6,0.024181542918086052,0.9936054348945618,0.02671748213469982,0.9928538203239441
7,0.021272793412208557,0.9947189092636108,0.021367045119404793,0.9948734045028687
8,0.021138040348887444,0.9949734210968018,0.02080380544066429,0.9953394532203674
9,0.018033796921372414,0.9954506158828735,0.023312969133257866,0.9934751987457275
10,0.015100724995136261,0.9960551261901855,0.014651111327111721,0.9964268803596497
11,0.014978377148509026,0.9960551261901855,0.02498180791735649,0.9939412474632263
12,0.014103790745139122,0.9966913461685181,0.013572064228355885,0.996271550655365
13,0.011737314984202385,0.9974231123924255,0.01095589343458414,0.9970483183860779
14,0.010142937302589417,0.9976139664649963,0.01112482137978077,0.9970483183860779
15,0.011600753292441368,0.9970095157623291,0.01057148166000843,0.9975143671035767
16,0.009754251688718796,0.9978684782981873,0.017214737832546234,0.9953394532203674
17,0.008946261368691921,0.9981229901313782,0.011280393227934837,0.9968929886817932
18,0.010887082666158676,0.9977093935012817,0.012332282960414886,0.9970483183860779
19,0.007715486455708742,0.9981866478919983,0.012370926328003407,0.997359037399292
