Epoch,Training Loss,Accuracy,Positive Mean,Negative Mean,Positive Std,Negative Std,Positive Min,Negative Min,Positive Max,Negative Max
0,0.0002007431987386408,1.0,0.032879613,1.989098,0.065803215,0.0491285,0.0013779995,0.82444,0.8377559,2.0000005
1,1.5695611775901e-05,1.0,0.035954162,1.9974868,0.09461684,0.028356606,0.00072446704,1.0528138,1.020954,2.0000005
2,2.2776252789036774e-05,1.0,0.046889402,1.999295,0.10074792,0.0070980224,0.00051180826,1.7664878,1.1402928,2.0000005
3,1.4945548203844233e-05,1.0,0.02802942,1.9969746,0.072817326,0.030705469,0.00015202959,1.2046847,0.85740274,2.0000005
4,8.110850312452272e-08,1.0,0.027942533,1.9974337,0.07507402,0.026829276,0.00013879332,1.2877302,0.89303005,2.0000005
5,0.0,1.0,0.027942533,1.9974337,0.07507402,0.026829276,0.00013879332,1.2877302,0.89303005,2.0000005
6,0.0,1.0,0.027942533,1.9974337,0.07507402,0.026829276,0.00013879332,1.2877302,0.89303005,2.0000005
7,0.0,1.0,0.027942533,1.9974337,0.07507402,0.026829276,0.00013879332,1.2877302,0.89303005,2.0000005
8,0.0,1.0,0.027942533,1.9974337,0.07507402,0.026829276,0.00013879332,1.2877302,0.89303005,2.0000005
9,0.0,1.0,0.027942533,1.9974337,0.07507402,0.026829276,0.00013879332,1.2877302,0.89303005,2.0000005
