loss,accuracy,val_loss,val_accuracy
0.4839417040348053,0.4870668649673462,0.47366130352020264,0.4765625
0.4101041555404663,0.4841386079788208,0.4723765254020691,0.47265625
0.38043269515037537,0.4860907793045044,0.5065906643867493,0.51171875
0.36095649003982544,0.46656906604766846,0.4630270004272461,0.50390625
0.34663552045822144,0.46559298038482666,0.43800005316734314,0.51953125
0.31670454144477844,0.4577842950820923,0.32820048928260803,0.55078125
0.30625998973846436,0.4553440809249878,0.3208988606929779,0.55078125
0.29655954241752625,0.44265496730804443,0.28902822732925415,0.5
0.2898470461368561,0.44119083881378174,0.24697378277778625,0.46484375
0.2865595519542694,0.4519277811050415,0.2637127935886383,0.48828125
0.28026023507118225,0.43777453899383545,0.28302010893821716,0.46484375
0.28237423300743103,0.44363105297088623,0.2508530616760254,0.453125
0.26230111718177795,0.423621267080307,0.2652127146720886,0.46484375
0.2591221332550049,0.4255734384059906,0.29787391424179077,0.48046875
