Epoch,Training Loss,Accuracy,Positive Mean,Negative Mean,Positive Std,Negative Std,Positive Min,Negative Min,Positive Max,Negative Max
0,0.002136534285483469,8.944668184205918,4.266167,25.420177,4.6595707,21.001913,0.00017795793,0.053809695,51.27044,78.60745
1,0.00046537314666067584,8.992820872001401,2.2194238,22.4324,2.6969721,15.037332,0.0023921267,0.42704248,30.93623,57.60625
2,0.00020940444764933546,8.996497986342147,1.5998821,16.750723,1.9825106,6.570486,7.580113e-05,0.57360506,24.947067,40.84825
3,0.00010534710577447783,8.998248993171073,0.86119616,20.77474,1.4806873,11.084429,0.0,4.973799e-14,18.040287,41.0
4,1.1868414284007662e-05,8.998073892488181,1.4300002,21.3359,2.3835287,10.360072,0.0,1.8931396,21.256294,41.0
5,9.52818576869751e-06,8.998774295219752,1.0140271,22.1326,1.2845895,9.522967,3.5527137e-15,0.8021708,17.443676,40.0
6,4.47002665784085e-06,8.998774295219752,1.1689029,20.89707,1.7617052,9.707912,0.0,0.8618854,19.572063,41.0
7,1.2127077476967539e-05,8.998248993171073,2.1409223,19.10106,2.9069204,8.6424,0.0,1.5332701,21.18176,39.0
8,6.930918221162422e-06,8.998424093853966,2.2630818,18.77607,2.9517503,8.040016,0.0,1.7783492,27.588467,38.0
9,6.409456921724328e-06,8.998424093853966,2.2469208,18.855217,2.940024,8.158273,0.0,1.8307408,25.844936,39.0
