Epoch,Training Loss,Accuracy,Positive Mean,Negative Mean,Positive Std,Negative Std,Positive Min,Negative Min,Positive Max,Negative Max
0,0.0013775389227140252,0.9978987918052881,2.2640839,41.960674,1.4630998,21.059559,0.2283524,1.1024467,13.2069645,156.82303
1,0.00031449042260809864,0.998949395902644,0.6864236,13.933265,0.4625016,5.4204097,0.08387135,0.6912216,5.250724,34.431137
2,7.575478488973965e-05,0.9996497986342147,0.36623153,13.977445,0.36453453,5.496504,0.021157302,0.425785,4.584656,36.93301
3,7.222075911574014e-05,0.9917702679040449,1.2161618,37.734,1.7840667,20.317879,0.018888041,0.5291475,17.132614,130.99045
4,1.2981866783767688e-05,0.9996497986342147,0.41163674,71.5865,0.61245817,33.69206,0.005996285,0.09671475,8.589945,191.69046
5,2.836517360927511e-06,0.9996497986342147,0.6646076,137.1254,1.1906922,48.123272,0.011504722,1.2561233,16.58727,292.867
6,4.0329202320896275e-07,0.9996497986342147,1.0784862,154.02266,1.8795038,50.591927,0.022814445,1.3436029,21.311268,313.9486
7,0.0,0.9996497986342147,1.0784862,154.02266,1.8795038,50.591927,0.022814445,1.3436029,21.311268,313.9486
8,0.0,0.9996497986342147,1.0784862,154.02266,1.8795038,50.591927,0.022814445,1.3436029,21.311268,313.9486
9,0.0,0.9996497986342147,1.0784862,154.02266,1.8795038,50.591927,0.022814445,1.3436029,21.311268,313.9486
