Epoch,Training Loss,Accuracy,Positive Mean,Negative Mean,Positive Std,Negative Std,Positive Min,Negative Min,Positive Max,Negative Max
0,0.0025512976031417827,0.9991244965855367,2.3125978,36.528393,1.225135,17.932905,0.37611043,2.6664693,16.741726,157.2434
1,0.00016401666222564605,0.999474697951322,0.957725,17.694511,0.5571234,9.363869,0.15453885,1.1677134,8.044612,73.31196
2,0.00014984982601968253,0.9980738924881807,0.7095508,13.310582,0.49993378,7.252112,0.08042015,0.7227276,5.0544944,55.97682
3,7.56559491986461e-05,0.9996497986342147,0.4025939,17.521511,0.3528916,10.509041,0.028291255,0.76300704,4.0000057,68.62926
4,7.6195394402795086e-06,1.0,0.2139703,21.692074,0.20432435,11.702192,0.012609768,0.20817709,3.327446,84.728714
5,1.4505661945432654e-06,1.0,0.30897996,26.607523,0.32914674,13.360473,0.01824155,0.85881996,5.225931,93.4707
6,0.0,1.0,0.30897996,26.607523,0.32914674,13.360473,0.01824155,0.85881996,5.225931,93.4707
7,0.0,1.0,0.30897996,26.607523,0.32914674,13.360473,0.01824155,0.85881996,5.225931,93.4707
8,0.0,1.0,0.30897996,26.607523,0.32914674,13.360473,0.01824155,0.85881996,5.225931,93.4707
9,0.0,1.0,0.30897996,26.607523,0.32914674,13.360473,0.01824155,0.85881996,5.225931,93.4707
