Epoch,Training Loss,Accuracy,Positive Mean,Negative Mean,Positive Std,Negative Std,Positive Min,Negative Min,Positive Max,Negative Max
0,0.0001897824277119132,1.0,0.09879686,1.983113,0.15637703,0.062722795,0.0034337714,0.46541613,1.1605048,2.0000002
1,1.9928819412842957e-05,1.0,0.021897212,1.9775002,0.03680823,0.09762882,0.00092009694,0.67888117,0.5017334,2.0000002
2,1.4207492162980901e-05,1.0,0.06252627,1.983086,0.11926382,0.050147463,0.00042532326,0.5003016,0.9383384,2.0000002
3,2.787319936134777e-05,1.0,0.08160026,1.9842198,0.112525344,0.085398346,0.0004719751,0.5119113,0.8180665,2.0000005
4,6.137882895423334e-07,1.0,0.089108974,1.9990027,0.12404116,0.017878776,0.0006019195,1.3496463,0.8880509,2.0000005
5,0.0,1.0,0.08910912,1.9990027,0.12404126,0.017878668,0.0006019182,1.3496498,0.8880512,2.0000005
6,0.0,1.0,0.08910912,1.9990027,0.12404126,0.017878668,0.0006019182,1.3496498,0.8880512,2.0000005
7,0.0,1.0,0.08910912,1.9990027,0.12404126,0.017878668,0.0006019182,1.3496498,0.8880512,2.0000005
8,0.0,1.0,0.08910912,1.9990027,0.12404126,0.017878668,0.0006019182,1.3496498,0.8880512,2.0000005
9,0.0,1.0,0.08910912,1.9990027,0.12404126,0.017878668,0.0006019182,1.3496498,0.8880512,2.0000005
