loss,accuracy,val_loss,val_accuracy
0.9459937214851379,0.49780380725860596,0.9575190544128418,0.4375
0.6884713172912598,0.5085407495498657,0.9192202687263489,0.4375
0.6784368753433228,0.5056124925613403,0.791730523109436,0.4375
0.6806760430335999,0.5104929208755493,0.7015905380249023,0.48828125
0.6859140992164612,0.5246461629867554,0.6949312686920166,0.44921875
0.657244086265564,0.5417276620864868,0.6830729842185974,0.48046875
0.6823861598968506,0.5558809041976929,0.7223643064498901,0.46484375
0.6674284338951111,0.5461200475692749,0.7262557148933411,0.42578125
0.6729351282119751,0.5412396192550659,0.6925485134124756,0.48046875
0.6390290260314941,0.5919960737228394,0.6997994184494019,0.48828125
0.6422391533851624,0.5905319452285767,0.6953878998756409,0.5078125
