,mae,val_mae,loss,val_loss
0,5.978785991668701,11.682833671569824,49.32793045043945,136.0014190673828
1,4.630275726318359,6.378199577331543,32.997501373291016,47.724098205566406
2,4.191671371459961,6.952953338623047,28.228759765625,64.43360900878906
3,3.973119020462036,4.74264669418335,25.70854377746582,36.2443962097168
4,3.770779848098755,5.128281116485596,23.644065856933594,42.780792236328125
5,3.6454720497131348,3.790257453918457,22.398935317993164,24.771894454956055
6,3.494503974914551,3.4180030822753906,20.946308135986328,22.276371002197266
7,3.386855125427246,3.575806140899658,19.981090545654297,23.43879508972168
8,3.3138296604156494,3.2882044315338135,19.170263290405273,20.797266006469727
9,3.2109594345092773,3.502916097640991,18.056867599487305,22.032888412475586
10,3.1465678215026855,3.1279242038726807,17.8157958984375,19.67554473876953
11,3.0389909744262695,3.253005027770996,16.445716857910156,21.392295837402344
12,3.0097882747650146,3.2541587352752686,16.261850357055664,20.787355422973633
13,2.948185920715332,3.350470542907715,15.542810440063477,22.871652603149414
14,2.8918967247009277,3.2800838947296143,15.115157127380371,21.832136154174805
15,2.884047746658325,3.121809720993042,14.81986141204834,19.60226821899414
16,2.8131353855133057,3.1642136573791504,14.29965591430664,19.74981689453125
17,2.781212329864502,3.966697931289673,14.014925003051758,30.0848445892334
18,2.7243456840515137,3.1777138710021973,13.423249244689941,19.377708435058594
19,2.7106406688690186,3.227921724319458,13.216291427612305,20.116756439208984
20,2.6874754428863525,3.1870181560516357,12.987944602966309,20.129106521606445
21,2.654161214828491,3.1003668308258057,12.578536033630371,19.011980056762695
22,2.6283371448516846,3.196235418319702,12.433557510375977,20.279966354370117
23,2.6035866737365723,3.1007840633392334,12.171446800231934,18.990978240966797
24,2.578361749649048,3.2915782928466797,12.021482467651367,20.505014419555664
25,2.5396480560302734,3.8074474334716797,11.614033699035645,26.690834045410156
26,2.5174291133880615,3.161442279815674,11.39594554901123,19.474620819091797
27,2.51139497756958,3.2639968395233154,11.271873474121094,20.08266258239746
28,2.4820497035980225,3.214616060256958,11.014976501464844,19.70343780517578
29,2.463318347930908,3.359097480773926,10.988584518432617,20.91639518737793
30,2.43328857421875,3.577697277069092,10.596705436706543,24.732065200805664
31,2.4122679233551025,3.2505087852478027,10.337992668151855,21.0236759185791
