,accuracy,val_accuracy,loss,val_loss
0,0.9947700500488281,0.9997887015342712,0.027259210124611855,0.004404750652611256
1,0.9989698529243469,1.0,0.00567491352558136,0.002292133402079344
2,0.999260425567627,0.9997887015342712,0.0035101352259516716,0.0023876805789768696
3,0.9992340207099915,1.0,0.0028094833251088858,0.0010065740207210183
4,0.9991283416748047,1.0,0.0028967026155442,0.0016899697948247194
5,0.999603807926178,1.0,0.00203033653087914,0.0009284103871323168
6,0.999603807926178,1.0,0.001662781578488648,0.0008089332259260118
7,0.999366044998169,0.9995773434638977,0.0017569996416568756,0.0010931133292615414
8,0.99970942735672,1.0,0.0012650075368583202,0.00030803895788267255
9,0.9996302127838135,1.0,0.0013779832515865564,0.0005004949634894729
10,0.999656617641449,1.0,0.0013139625079929829,0.0005656580324284732
11,0.9997887015342712,1.0,0.0010007775854319334,0.00023725201026536524
12,0.9995509386062622,1.0,0.0016286397585645318,0.0003311719628982246
13,0.9995245337486267,1.0,0.0015296665951609612,0.0003837808617390692
14,0.9996302127838135,1.0,0.0012967913644388318,0.00040832682861946523
15,0.9997887015342712,1.0,0.000844702881295234,0.0005265793879516423
16,0.9997887015342712,1.0,0.0008918931125663221,0.00041793202399276197
17,0.9996830224990845,1.0,0.0008861740352585912,0.00017240308807231486
18,0.9997358322143555,1.0,0.0009140876936726272,0.00033992918906733394
19,0.99970942735672,1.0,0.0009343319106847048,0.0002121447178069502
