Epoch,Training Loss,Accuracy,Positive Mean,Negative Mean,Positive Std,Negative Std,Positive Min,Negative Min,Positive Max,Negative Max
0,0.00013778387288124685,1.0,0.06809291,1.994432,0.099826545,0.051827665,0.0010948894,0.16493106,0.8712709,2.0000005
1,2.1355524746386766e-05,1.0,0.04454651,1.9861892,0.08642203,0.0795691,0.0008361307,0.2321478,0.8979902,2.0000005
2,1.1721893850549618e-05,0.9998248993171074,0.07690749,1.994991,0.13705063,0.034828704,0.00038896108,0.03566483,1.3389555,2.0000002
3,7.995904999014241e-06,1.0,0.024217652,1.9471953,0.058119837,0.08725157,6.660973e-05,0.01925492,0.7130984,1.9952877
4,1.5030379347758843e-06,1.0,0.018773964,1.9931027,0.05378028,0.045334473,5.0737683e-05,0.04316954,0.82234013,2.0000005
5,7.843509618406828e-07,1.0,0.013177809,1.9945117,0.03591973,0.048402667,5.0699055e-05,0.06992997,0.556112,2.0000005
6,6.147522622124612e-07,1.0,0.012581982,1.9947361,0.034576956,0.0473343,4.9804603e-05,0.17117417,0.53395975,2.0000005
7,5.118052474502213e-07,1.0,0.02043685,1.9971545,0.057560008,0.033467766,6.253665e-05,0.73798215,0.7417631,2.0000005
8,5.565088533167662e-08,1.0,0.021414483,1.9975903,0.061234858,0.030473873,6.020796e-05,0.8607644,0.7750011,2.0000005
9,0.0,1.0,0.021414483,1.9975903,0.061234858,0.030473873,6.020796e-05,0.8607644,0.7750011,2.0000005
