Epoch,Training Loss,Accuracy,Positive Mean,Negative Mean,Positive Std,Negative Std,Positive Min,Negative Min,Positive Max,Negative Max
0,0.00015681244704643453,1.0,0.02938705,1.9966904,0.07499907,0.020633837,0.00023960733,0.7969452,1.2474031,2.0000002
1,2.1804972815572567e-05,1.0,0.0108230505,1.97524,0.04385914,0.07089785,2.2148077e-05,0.3846746,0.8993819,2.0000002
2,2.831319086638433e-06,1.0,0.021261562,1.9915525,0.06682579,0.044455927,1.3427554e-05,0.3401593,0.8583496,2.0000005
3,3.387367575646558e-05,1.0,0.047679093,1.9985067,0.09137054,0.034653608,1.7872913e-05,0.3788218,0.8748082,2.0000005
4,1.241903938287843e-06,1.0,0.046906624,1.9990684,0.099365756,0.028728101,1.2657708e-05,0.5299367,0.96294045,2.0000005
5,7.782519973699703e-07,1.0,0.04009282,1.9989069,0.086472385,0.030399816,1.2687797e-05,0.5310191,0.9023247,2.0000005
6,6.367861852832451e-07,1.0,0.036395207,1.9987897,0.07920205,0.030969191,1.3429729e-05,0.56538534,0.8774557,2.0000005
7,5.858464926971692e-07,1.0,0.02568225,1.9972253,0.07426527,0.021242363,1.0438704e-05,0.91079295,1.0572616,2.0000005
8,8.665930469329952e-09,1.0,0.027350582,1.9970644,0.07959098,0.02015135,1.108727e-05,0.95041275,1.0841101,2.0000005
9,5.2683639760110896e-09,1.0,0.025026314,1.9976485,0.07280535,0.021233944,1.0542799e-05,0.91405654,1.0004773,2.0000005
