Epoch,Training Loss,Accuracy,Positive Mean,Negative Mean,Positive Std,Negative Std,Positive Min,Negative Min,Positive Max,Negative Max
0,0.00021179483522574941,1.0,0.027473964,1.989549,0.038006246,0.06912468,0.0023133461,0.59425485,0.5982673,2.0000005
1,3.9791662561647195e-05,1.0,0.020460065,1.9927588,0.039248068,0.03972353,0.0005820296,1.2214382,0.6022471,2.0000005
2,3.29201354440406e-06,1.0,0.013465432,1.9880528,0.029487725,0.050637573,0.00046621304,0.9386631,0.5547427,2.0000005
3,0.0,1.0,0.013465432,1.9880528,0.029487725,0.050637573,0.00046621304,0.9386631,0.5547427,2.0000005
4,0.0,1.0,0.013465432,1.9880528,0.029487725,0.050637573,0.00046621304,0.9386631,0.5547427,2.0000005
5,0.0,1.0,0.013465432,1.9880528,0.029487725,0.050637573,0.00046621304,0.9386631,0.5547427,2.0000005
6,0.0,1.0,0.013465432,1.9880528,0.029487725,0.050637573,0.00046621304,0.9386631,0.5547427,2.0000005
7,0.0,1.0,0.013465432,1.9880528,0.029487725,0.050637573,0.00046621304,0.9386631,0.5547427,2.0000005
8,0.0,1.0,0.013465432,1.9880528,0.029487725,0.050637573,0.00046621304,0.9386631,0.5547427,2.0000005
9,0.0,1.0,0.013465432,1.9880528,0.029487725,0.050637573,0.00046621304,0.9386631,0.5547427,2.0000005
