Epoch,Training Loss,Accuracy,Positive Mean,Negative Mean,Positive Std,Negative Std,Positive Min,Negative Min,Positive Max,Negative Max
0,8.575445745340535e-05,1.0,0.06368523,1.8663527,0.07129795,0.14125627,0.004169206,0.42685091,0.6977355,1.9864985
1,1.3672389788390073e-05,0.9998248993171074,0.07815805,1.9465508,0.123650305,0.101124704,0.001188488,0.5757627,1.2072846,2.0
2,1.2438734340336674e-05,1.0,0.0056400215,1.7651353,0.017370261,0.17106535,0.00019730836,0.044855803,0.44853038,1.9599295
3,9.822115821063425e-06,1.0,0.037529767,1.9588149,0.08489098,0.096602336,0.00024715322,0.9183204,1.008542,2.0000002
4,2.614093823123629e-07,1.0,0.04086464,1.9868922,0.082710646,0.048655838,0.0003893965,1.0226116,0.96592367,2.0000005
5,0.0,1.0,0.04086464,1.9868922,0.082710646,0.048655838,0.0003893965,1.0226116,0.96592367,2.0000005
6,0.0,1.0,0.04086464,1.9868922,0.082710646,0.048655838,0.0003893965,1.0226116,0.96592367,2.0000005
7,0.0,1.0,0.04086464,1.9868922,0.082710646,0.048655838,0.0003893965,1.0226116,0.96592367,2.0000005
8,0.0,1.0,0.04086464,1.9868922,0.082710646,0.048655838,0.0003893965,1.0226116,0.96592367,2.0000005
9,0.0,1.0,0.04086464,1.9868922,0.082710646,0.048655838,0.0003893965,1.0226116,0.96592367,2.0000005
